"","route_pattern_id","route_id","direction_id","route_pattern_name","route_pattern_time_desc","route_pattern_typicality","route_pattern_sort_order","representative_trip_id"
"112","CR-Providence-1f705844-1","CR-Providence",1,"Wickford Junction - South Station","",2,20012103,"CR-500977-830"
"113","CR-Providence-e99e5ce2-1","CR-Providence",1,"Providence - South Station","",2,20012104,"CR-500987-800"
"114","CR-Providence-87821f71-1","CR-Providence",1,"Wickford Junction - South Station","",2,20012105,"CR-501025-836"
"115","CR-Providence-bffb2f0c-1","CR-Providence",1,"Providence - South Station","",2,20012106,"CR-501030-824"
"116","CR-Providence-4f7f6e16-1","CR-Providence",1,"Wickford Junction - South Station","",2,20012107,"CR-502177-810"
"117","Boat-F4-0-0","Boat-F4",0,"Long Wharf - Charlestown Navy Yard","",1,30001000,"Boat-F4-0630-Long-Weekday-Fall-21"
"118","Boat-F4-0-1","Boat-F4",1,"Charlestown Navy Yard - Long Wharf","",1,30001100,"Boat-F4-0645-Charlestown-Weekday-Fall-21"
"119","Boat-F1-1-0","Boat-F1",0,"Long Wharf - Hingham via Hull","",1,30002001,"Boat-F1-1100-Long-Weekday-Fall-21"
"120","Boat-F1-2-0","Boat-F1",0,"Rowes Wharf - Hingham","Weekdays only",1,30002002,"Boat-F1-0650-Rowes-Weekday-Fall-21"
"121","Boat-F1-3-0","Boat-F1",0,"Long Wharf - Hull","",2,30002003,"Boat-F1-0800-Long-Weekday-Fall-21"
"122","Boat-F1-6-0","Boat-F1",0,"Long Wharf - Hingham","",2,30002006,"Boat-F1-0910-Long-Weekday-Fall-21"
"123","Boat-F1-9-0","Boat-F1",0,"Long Wharf - Hull via Logan Airport","",2,30002009,"Boat-F1-0625-Long-Weekday-Fall-21"
"124","Boat-F1-1-1","Boat-F1",1,"Hingham - Long Wharf via Hull","",1,30002101,"Boat-F1-0540-Hingham-Weekday-Fall-21"
"125","Boat-F1-2-1","Boat-F1",1,"Hingham - Rowes Wharf","Weekdays only",1,30002102,"Boat-F1-0600-Hingham-Weekday-Fall-21"
"126","Boat-F1-3-1","Boat-F1",1,"Hull - Long Wharf","",2,30002103,"Boat-F1-0730-Hull-Weekday-Fall-21"
"127","Boat-F1-4-1","Boat-F1",1,"Hingham - Long Wharf via Logan Airport","",2,30002104,"Boat-F1-1200-Hingham-Weekday-Fall-21"
"128","Boat-F1-6-1","Boat-F1",1,"Hingham - Long Wharf","",2,30002106,"Boat-F1-1000-Hingham-Weekday-Fall-21"
"129","747-_-0","747",0,"Ruggles Station - Sullivan Square Station","Weekdays only",1,40020000,"50248237"
"130","747-_-1","747",1,"Sullivan Square Station - Ruggles Station","Weekdays only",1,40020100,"50248238"
"131","708-1-0","708",0,"Andrew Station - Ave Louis Pasteur","Weekdays only",1,40030000,"50248210"
