"","service_id","service_description","service_schedule_name","service_schedule_type","service_schedule_typicality","rating_start_date","rating_end_date","rating_description"
"555","FLL 21-N-Sa-24A-S9d378dcf-MRNwtSlmRct","Saturday schedule (modified service)","Saturday (modified service)","Saturday",4,20211011,NA,"Fall"
"556","FLL 21-N-Sa-31","Saturday schedule (modified service)","Saturday (modified service)","Saturday",1,20211011,NA,"Fall"
"557","FLL 21-N-Sa-5-S6d","Saturday schedule (modified service)","Saturday (modified service)","Saturday",4,20211011,NA,"Fall"
"558","FLL 21-N-Sa-5-S72","Saturday schedule (modified service)","Saturday (modified service)","Saturday",4,20211011,NA,"Fall"
"559","FLL 21-N-Sa-5-S9d378dcf-MRRct","Saturday schedule (modified service)","Saturday (modified service)","Saturday",1,20211011,NA,"Fall"
"560","FLL 21-N-Su-24","Sunday schedule (modified service)","Sunday (modified service)","Sunday",4,20211011,NA,"Fall"
"561","FLL 21-N-Su-24A-S9d378dcf-MRNwtSlmRct","Sunday schedule (modified service)","Sunday (modified service)","Sunday",4,20211011,NA,"Fall"
"562","FLL 21-N-Su-31","Sunday schedule (modified service)","Sunday (modified service)","Sunday",1,20211011,NA,"Fall"
"563","FLL 21-N-Su-5","Sunday schedule (modified service)","Sunday (modified service)","Sunday",4,20211011,NA,"Fall"
"564","FLL 21-N-Su-5-S6d","Sunday schedule (modified service)","Sunday (modified service)","Sunday",4,20211011,NA,"Fall"
"565","FLL 21-N-Su-5-S72","Sunday schedule (modified service)","Sunday (modified service)","Sunday",4,20211011,NA,"Fall"
"566","FLL 21-N-Su-5-S9d378dcf-MRRct","Sunday schedule (modified service)","Sunday (modified service)","Sunday",1,20211011,NA,"Fall"
"567","FLL 21-N-Wdy-24A-S9d378dcf-MRNwtSlmRct","Weekday schedule (modified service)","Weekday (modified service)","Weekday",4,20211011,NA,"Fall"
"568","FLL 21-N-Wdy-31","Weekday schedule (modified service)","Weekday (modified service)","Weekday",1,20211011,NA,"Fall"
